epoch,total_time,avg_data_time,avg_fwd_time,avg_bwd_time,avg_batch_time
0,1097.6990,13.5715,0.7281,0.1289,0.8690
1,1092.7624,13.7652,0.6256,0.1285,0.7764
2,1109.8528,13.9059,0.5842,0.1358,0.7419
3,1112.1540,14.0224,0.5894,0.1351,0.7468
4,1102.7452,13.9137,0.5818,0.1313,0.7346
5,1108.1032,13.9329,0.5836,0.1344,0.7405
6,1109.7532,14.0436,0.5873,0.1344,0.7432
7,1113.2911,14.0080,0.5855,0.1339,0.7408
8,1109.1692,13.8978,0.5860,0.1304,0.7380
9,1108.3219,14.0240,0.5881,0.1338,0.7439
10,1097.7671,13.7697,0.5805,0.1255,0.7290
11,1076.7580,13.5957,0.5620,0.1110,0.6937
12,1066.8636,13.3337,0.5577,0.1063,0.6849
13,1077.0498,13.6287,0.5592,0.1094,0.6895
14,1077.7312,13.4675,0.5679,0.1145,0.7024
15,1081.6157,13.5155,0.5691,0.1163,0.7054
16,1086.2983,13.7757,0.5693,0.1176,0.7079
17,1082.4530,13.6608,0.5688,0.1189,0.7086
18,1085.5421,13.5607,0.5664,0.1182,0.7047
19,1088.9841,13.5922,0.5743,0.1211,0.7158
20,1096.4887,13.8682,0.5784,0.1229,0.7223
21,1082.7042,13.6063,0.5734,0.1195,0.7146
22,1071.3254,13.4008,0.5557,0.1067,0.6827
23,1064.7639,13.3691,0.5534,0.0982,0.6722
24,1088.6503,13.6153,0.5734,0.1201,0.7146
25,1091.4236,13.8267,0.5706,0.1235,0.7154
26,1087.8785,13.7388,0.5724,0.1197,0.7135
27,1080.4495,13.6802,0.5725,0.1187,0.7118
28,1082.7814,13.6794,0.5710,0.1191,0.7102
29,1079.4351,13.5482,0.5705,0.1136,0.7050
30,1077.1519,13.6115,0.5657,0.1102,0.6964
